CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;LSTAT;target
1712;0;856;0;52;5836;919;2211;50;3840;209;1866;195
13117;0;856;0;52;6127;852;21224;50;3840;209;1409;204
12802;0;856;0;52;6474;971;24329;50;3840;209;1227;198
26363;0;856;0;52;6229;912;25451;50;3840;209;1555;194
10793;0;856;0;52;6195;544;27778;50;3840;209;130;217
10084;0;1001;0;547;6715;816;26775;60;4320;178;1016;228
12329;0;1001;0;547;5913;929;23534;60;4320;178;1621;188
22212;0;1001;0;547;6092;954;2548;60;4320;178;1709;187
14231;0;1001;0;547;6254;842;22565;60;4320;178;1045;185
17134;0;1001;0;547;5928;882;24631;60;4320;178;1576;183
13158;0;1001;0;547;6176;725;27301;60;4320;178;1204;212
15098;0;1001;0;547;6021;826;27474;60;4320;178;103;192
13058;0;1001;0;547;5872;731;24775;60;4320;178;1537;204
14476;0;1001;0;547;5731;652;27592;60;4320;178;1361;193
6899;0;2565;0;581;587;697;22577;20;1880;191;1437;220
7165;0;2565;0;581;6004;841;21974;20;1880;191;1427;203
9299;0;2565;0;581;5961;929;20869;20;1880;191;1793;205
15038;0;2565;0;581;5856;970;19444;20;1880;191;2541;173
9849;0;2565;0;581;5879;958;20063;20;1880;191;1758;188
16902;0;2565;0;581;5986;884;19929;20;1880;191;1481;214
38735;0;2565;0;581;5613;956;17572;20;1880;191;2726;157
25915;0;2189;0;624;5693;960;17883;40;4370;212;1719;162
32543;0;2189;0;624;6431;988;18125;40;4370;212;1539;180
88125;0;2189;0;624;5637;947;19799;40;4370;212;1834;143
34006;0;2189;0;624;6458;989;21185;40;4370;212;126;192
119294;0;2189;0;624;6326;977;2271;40;4370;212;1226;196
59005;0;2189;0;624;6372;979;23274;40;4370;212;1112;230
32982;0;2189;0;624;5822;954;24699;40;4370;212;1503;184
97617;0;2189;0;624;5757;984;2346;40;4370;212;1731;156
55778;0;2189;0;624;6335;982;21107;40;4370;212;1696;181
32264;0;2189;0;624;5942;935;19669;40;4370;212;169;174
35233;0;2189;0;624;6454;984;18498;40;4370;212;1459;171
2498;0;2189;0;624;5857;982;16686;40;4370;212;2132;133
54452;0;2189;0;624;6151;979;16687;40;4370;212;1846;178
2909;0;2189;0;624;6174;936;16119;40;4370;212;2416;140
162864;0;2189;0;624;5019;1000;14394;40;4370;212;3441;144
332105;0;1958;10;871;5403;1000;13216;50;4030;147;2682;134
40974;0;1958;0;871;5468;1000;14118;50;4030;147;2642;156
277974;0;1958;0;871;4903;978;13459;50;4030;147;2929;118
237934;0;1958;0;871;613;1000;14191;50;4030;147;278;138
215505;0;1958;0;871;5628;1000;15166;50;4030;147;1665;156
236862;0;1958;0;871;4926;957;14608;50;4030;147;2953;146
233099;0;1958;0;871;5186;938;15296;50;4030;147;2832;178
273397;0;1958;0;871;5597;949;15257;50;4030;147;2145;154
16566;0;1958;0;871;6122;973;1618;50;4030;147;141;215
149632;0;1958;0;871;5404;1000;15916;50;4030;147;1328;196
112658;0;1958;10;871;5012;880;16102;50;4030;147;1212;153
214918;0;1958;0;871;5709;985;16232;50;4030;147;1579;194
141385;0;1958;10;871;6129;960;17494;50;4030;147;1512;170
353501;0;1958;10;871;6152;826;17455;50;4030;147;1502;156
244668;0;1958;0;871;5272;940;17364;50;4030;147;1614;131
122358;0;1958;0;605;6943;974;18773;50;4030;147;459;413
134284;0;1958;0;605;6066;1000;17573;50;4030;147;643;243
142502;0;1958;0;871;651;1000;17659;50;4030;147;739;233
127346;0;1958;10;605;625;926;17984;50;4030;147;55;270
146336;0;1958;0;605;7489;908;19709;50;4030;147;173;500
183377;0;1958;10;605;7802;982;20407;50;4030;147;192;500
151902;0;1958;10;605;8375;939;2162;50;4030;147;332;500
224236;0;1958;0;605;5854;918;2422;50;4030;147;1164;227
2924;0;1958;0;605;6101;930;22834;50;4030;147;981;250
201019;0;1958;0;605;7929;962;20459;50;4030;147;37;500
180028;0;1958;0;605;5877;792;24259;50;4030;147;1214;238
23004;0;1958;0;605;6319;961;21;50;4030;147;111;238
244953;0;1958;0;605;6402;952;22625;50;4030;147;1132;223
120742;0;1958;0;605;5875;946;24259;50;4030;147;1443;174
23139;0;1958;0;605;588;973;23887;50;4030;147;1203;191
13914;0;405;0;51;5572;885;25961;50;2960;166;1469;231
9178;0;405;0;51;6416;841;26463;50;2960;166;904;236
8447;0;405;0;51;5859;687;27019;50;2960;166;964;226
6664;0;405;0;51;6546;331;31323;50;2960;166;533;294
7022;0;405;0;51;602;472;35549;50;2960;166;1011;232
5425;0;405;0;51;6315;734;33175;50;2960;166;629;246
6642;0;405;0;51;686;744;29153;50;2960;166;692;299
578;0;246;0;488;698;584;2829;30;1930;178;504;372
6588;0;246;0;488;7765;833;2741;30;1930;178;756;398
6888;0;246;0;488;6144;622;25979;30;1930;178;945;362
9103;0;246;0;488;7155;922;27006;30;1930;178;482;379
10008;0;246;0;488;6563;956;2847;30;1930;178;568;325
8308;0;246;0;488;5604;898;29879;30;1930;178;1398;264
6047;0;246;0;488;6153;688;32797;30;1930;178;1315;296
5602;0;246;0;488;7831;536;31992;30;1930;178;445;500
7875;450;344;0;437;6782;411;37886;50;3980;152;668;320
12579;450;344;0;437;6556;291;45667;50;3980;152;456;298
837;450;344;0;437;7185;389;45667;50;3980;152;539;349
9068;450;344;0;437;6951;215;64798;50;3980;152;51;370
6911;450;344;0;437;6739;308;64798;50;3980;152;469;305
8664;450;344;0;437;7178;263;64798;50;3980;152;287;364
2187;600;293;0;401;68;99;62196;10;2650;156;503;311
1439;600;293;0;401;6604;188;62196;10;2650;156;438;291
1381;800;46;0;422;7875;320;56484;40;2550;144;297;500
4011;800;152;0;404;7287;341;7309;20;3290;126;408;333
4666;800;152;0;404;7107;366;7309;20;3290;126;861;303
3768;800;152;0;404;7274;383;7309;20;3290;126;662;346
315;950;147;0;403;6975;153;76534;30;4020;170;456;349
1778;950;147;0;403;7135;139;76534;30;4020;170;445;329
3445;825;203;0;415;6162;384;627;20;3480;147;743;241
2177;825;203;0;415;761;157;627;20;3480;147;311;423
351;950;268;0;4161;7853;332;5118;40;2240;147;381;485
2009;950;268;0;4161;8034;319;5118;40;2240;147;288;500
13642;0;1059;0;489;5891;223;39454;40;2770;186;1087;226
22969;0;1059;0;489;6326;525;43549;40;2770;186;1097;244
25199;0;1059;0;489;5783;727;43549;40;2770;186;1806;225
13587;0;1059;10;489;6064;591;42392;40;2770;186;1466;244
43571;0;1059;10;489;5344;1000;3875;40;2770;186;2309;200
17446;0;1059;10;489;596;921;38771;40;2770;186;1727;217
37578;0;1059;10;489;5404;886;3665;40;2770;186;2398;193
21719;0;1059;10;489;5807;538;36526;40;2770;186;1603;224
14052;0;1059;0;489;6375;323;39454;40;2770;186;938;281
28955;0;1059;0;489;5412;98;35875;40;2770;186;2955;237
19802;0;1059;0;489;6182;424;39454;40;2770;186;947;250
456;0;1389;10;55;5888;560;31121;50;2760;164;1351;233
7013;0;1389;0;55;6642;851;34211;50;2760;164;969;287
11069;0;1389;10;55;5951;938;28893;50;2760;164;1792;215
11425;0;1389;10;55;6373;924;33633;50;2760;164;105;230
35809;0;62;10;507;6951;885;28617;80;3070;174;971;267
40771;0;62;10;507;6164;913;3048;80;3070;174;2146;217
62356;0;62;10;507;6879;777;32721;80;3070;174;993;275
6147;0;62;0;507;6618;808;32721;80;3070;174;76;301
31533;0;62;0;504;8266;783;28944;80;3070;174;414;448
52693;0;62;0;504;8725;830;28944;80;3070;174;463;500
38214;0;62;0;504;804;865;32157;80;3070;174;313;376
41238;0;62;0;504;7163;799;32157;80;3070;174;636;316
29819;0;62;0;504;7686;170;33751;80;3070;174;392;467
44178;0;62;0;504;6552;214;33751;80;3070;174;376;315
537;0;62;0;504;5981;681;36715;80;3070;174;1165;243
46296;0;62;0;504;7412;769;36715;80;3070;174;525;317
57529;0;62;0;507;8337;733;38384;80;3070;174;247;417
33147;0;62;0;507;8247;704;36519;80;3070;174;395;483
44791;0;62;10;507;6726;665;36519;80;3070;174;805;290
33045;0;62;0;507;6086;615;36519;80;3070;174;1088;240
52058;0;62;10;507;6631;765;4148;80;3070;174;954;251
51183;0;62;0;507;7358;716;4148;80;3070;174;473;315
8244;300;493;0;428;6481;185;61899;60;3000;166;636;237
9252;300;493;0;428;6606;422;61899;60;3000;166;737;233
11329;300;493;0;428;6897;543;63361;60;3000;166;1138;220
10612;300;493;0;428;6095;651;63361;60;3000;166;124;201
1029;300;493;0;428;6358;529;70355;60;3000;166;1122;222
12757;300;493;0;428;6393;78;70355;60;3000;166;519;237
20608;220;586;0;431;5593;765;79549;70;3300;191;125;176
19133;220;586;0;431;5605;702;79549;70;3300;191;1846;185
33983;220;586;0;431;6108;349;80555;70;3300;191;916;243
19657;220;586;0;431;6226;792;80555;70;3300;191;1015;205
16439;220;586;0;431;6433;491;78265;70;3300;191;952;245
19073;220;586;0;431;6718;175;78265;70;3300;191;656;262
1403;220;586;0;431;6487;130;73967;70;3300;191;59;244
21409;220;586;0;431;6438;89;73967;70;3300;191;359;248
8221;220;586;0;431;6957;68;89067;70;3300;191;353;296
36894;220;586;0;431;8259;84;89067;70;3300;191;354;428
4819;800;364;0;392;6108;320;92203;10;3150;164;657;219
3548;800;364;0;392;5876;191;92203;10;3150;164;925;209
1538;900;375;0;394;7454;342;63361;30;2440;159;311;440
61154;200;397;0;647;8704;869;1801;50;2640;130;512;500
66351;200;397;0;647;7333;1000;18946;50;2640;130;779;360
65665;200;397;0;647;6842;1000;20107;50;2640;130;69;301
54011;200;397;0;647;7203;818;21121;50;2640;130;959;338
53412;200;397;0;647;752;894;21398;50;2640;130;726;431
52014;200;397;0;647;8398;915;22885;50;2640;130;591;488
82526;200;397;0;647;7327;945;20788;50;2640;130;1125;310
55007;200;397;0;647;7206;916;19301;50;2640;130;81;365
76162;200;397;0;647;556;628;19865;50;2640;130;1045;228
7857;200;397;0;647;7014;846;21329;50;2640;130;1479;307
57834;200;397;0;575;8297;670;24216;50;2640;130;744;500
5405;200;397;0;575;747;526;2872;50;2640;130;316;435
9065;200;696;10;464;592;615;39175;30;2230;186;1365;207
29916;200;696;0;464;5856;421;4429;30;2230;186;130;211
16211;200;696;0;464;624;163;4429;30;2230;186;659;252
1146;200;696;0;464;6538;587;39175;30;2230;186;773;244
22188;200;696;10;464;7691;518;43665;30;2230;186;658;352
5644;400;641;10;447;6758;329;40776;40;2540;176;353;324
9604;400;641;0;447;6854;428;42673;40;2540;176;298;320
10469;400;641;10;447;7267;490;47872;40;2540;176;605;332
6127;400;641;10;447;6826;276;48628;40;2540;176;416;331
7978;400;641;0;447;6482;321;41403;40;2540;176;719;291
21038;200;333;0;4429;6812;322;41007;50;2160;149;485;351
3578;200;333;0;4429;782;645;46947;50;2160;149;376;454
3705;200;333;0;4429;6968;372;52447;50;2160;149;459;354
6129;200;333;10;4429;7645;497;52119;50;2160;149;301;460
1501;900;121;10;401;7923;248;5885;10;1980;136;316;500
906;900;297;0;4;7088;208;73073;10;2850;153;785;322
1096;550;225;0;389;6453;319;73073;10;3000;153;823;220
1965;800;176;0;385;623;315;90892;10;2410;182;1293;201
3871;525;532;0;405;6209;313;73172;60;2930;166;714;232
459;525;532;0;405;6315;456;73172;60;2930;166;76;223
4297;525;532;0;405;6565;229;73172;60;2930;166;951;248
3502;800;495;0;411;6861;279;51167;40;2450;192;333;285
7886;800;495;0;411;7148;277;51167;40;2450;192;356;373
3615;800;495;0;411;663;234;51167;40;2450;192;47;279
8265;0;1392;0;437;6127;184;55027;40;2890;160;858;239
8199;0;1392;0;437;6009;423;55027;40;2890;160;104;217
12932;0;1392;0;437;6678;311;59604;40;2890;160;627;286
5372;0;1392;0;437;6549;510;59604;40;2890;160;739;271
14103;0;1392;0;437;579;580;632;40;2890;160;1584;203
6466;700;224;0;4;6345;201;78278;50;3580;148;497;225
5561;700;224;0;4;7041;100;78278;50;3580;148;474;290
4417;700;224;0;4;6871;474;78278;50;3580;148;607;248
3537;340;609;0;433;659;404;54917;70;3290;161;95;220
9266;340;609;0;433;6495;184;54917;70;3290;161;867;264
1;340;609;0;433;6982;177;54917;70;3290;161;486;331
5515;330;218;0;472;7236;411;4022;70;2220;184;693;361
5479;330;218;0;472;6616;581;337;70;2220;184;893;284
7503;330;218;0;472;742;719;30992;70;2220;184;647;334
4932;330;218;0;472;6849;703;31827;70;2220;184;753;282
49298;0;99;0;544;6635;825;33175;40;3040;184;454;228
3494;0;99;0;544;5972;767;31025;40;3040;184;997;203
263548;0;99;0;544;4973;378;25194;40;3040;184;1264;161
79041;0;99;0;544;6122;528;26403;40;3040;184;598;221
26169;0;99;0;544;6023;904;2834;40;3040;184;1172;194
26938;0;99;0;544;6266;828;32628;40;3040;184;79;216
3692;0;99;0;544;6567;873;36023;40;3040;184;928;238
25356;0;99;0;544;5705;777;3945;40;3040;184;115;162
31827;0;99;0;544;5914;832;39986;40;3040;184;1833;178
24522;0;99;0;544;5782;717;40317;40;3040;184;1594;198
40202;0;99;0;544;6382;672;35325;40;3040;184;1036;231
47547;0;99;0;544;6113;588;40019;40;3040;184;1273;210
1676;0;738;0;493;6426;523;45404;50;2870;196;72;238
18159;0;738;0;493;6376;543;45404;50;2870;196;687;231
35114;0;738;0;493;6041;499;47211;50;2870;196;77;204
28392;0;738;0;493;5708;743;47211;50;2870;196;1174;185
34109;0;738;0;493;6415;401;47211;50;2870;196;612;250
19186;0;738;0;493;6431;147;54159;50;2870;196;508;246
30347;0;738;0;493;6312;289;54159;50;2870;196;615;230
24103;0;738;0;493;6083;437;54159;50;2870;196;1279;222
6617;0;324;0;46;5868;258;52146;40;4300;169;997;193
6724;0;324;0;46;6333;172;52146;40;4300;169;734;226
4544;0;324;0;46;6144;322;58736;40;4300;169;909;198
5023;350;606;0;4379;5706;284;66407;10;3040;169;1243;171
3466;350;606;0;4379;6031;233;66407;10;3040;169;783;194
5083;0;519;0;515;6316;381;64584;50;2240;202;568;222
3738;0;519;0;515;631;385;64584;50;2240;202;675;207
3961;0;519;0;515;6037;345;59853;50;2240;202;801;211
3427;0;519;0;515;5869;463;52311;50;2240;202;98;195
3041;0;519;0;515;5895;596;5615;50;2240;202;1056;185
3306;0;519;0;515;6059;373;48122;50;2240;202;851;206
5497;0;519;0;515;5985;454;48122;50;2240;202;974;190
6151;0;519;0;515;5968;585;48122;50;2240;202;929;187
1301;350;152;0;442;7241;493;70379;10;2840;155;549;327
2498;0;189;0;518;654;597;62669;10;4220;159;865;165
2543;550;378;0;484;6696;564;57321;50;3700;176;718;239
3049;550;378;0;484;6874;281;64654;50;3700;176;461;312
3113;0;439;0;442;6014;485;80136;30;3520;188;1053;175
6162;0;439;0;442;5898;523;80136;30;3520;188;1267;172
187;850;415;0;429;6516;277;85353;40;3510;179;636;231
1501;800;201;0;435;6635;297;8344;40;2800;170;599;245
2899;400;125;0;429;6939;345;87921;10;3350;197;589;266
6211;400;125;0;429;649;444;87921;10;3350;197;598;229
795;600;169;0;411;6579;359;107103;40;4110;183;549;241
7244;600;169;0;411;5884;185;107103;40;4110;183;779;186
1709;900;202;0;41;6728;361;121265;50;1870;170;45;301
4301;800;191;0;413;5663;219;105857;40;3340;220;805;182
10659;800;191;0;413;5936;195;105857;40;3340;220;557;206
898296;0;181;10;77;6212;974;21222;240;6660;202;176;178
38497;0;181;10;77;6395;910;25052;240;6660;202;1327;217
520177;0;181;10;77;6127;834;27227;240;6660;202;1148;227
426131;0;181;0;77;6112;813;25091;240;6660;202;1267;226
454192;0;181;0;77;6398;880;25182;240;6660;202;779;250
383684;0;181;0;77;6251;911;22955;240;6660;202;1419;199
367822;0;181;0;77;5362;962;21036;240;6660;202;1019;208
422239;0;181;10;77;5803;890;19047;240;6660;202;1464;168
347428;0;181;10;718;878;829;19047;240;6660;202;529;219
455587;0;181;0;718;3561;879;16132;240;6660;202;712;275
369695;0;181;0;718;4963;914;17523;240;6660;202;140;219
135222;0;181;0;631;3863;1000;15106;240;6660;202;1333;231
489822;0;181;0;631;497;1000;13325;240;6660;202;326;500
566998;0;181;10;631;6683;968;13567;240;6660;202;373;500
653876;0;181;10;631;7016;975;12024;240;6660;202;296;500
92323;0;181;0;631;6216;1000;11691;240;6660;202;953;500
826725;0;181;10;668;5875;896;11296;240;6660;202;888;500
111081;0;181;0;668;4906;1000;11742;240;6660;202;3477;138
184982;0;181;0;668;4138;1000;1137;240;6660;202;3797;138
196091;0;181;0;671;7313;979;13163;240;6660;202;1344;150
15288;0;181;0;671;6649;933;13449;240;6660;202;2324;139
982349;0;181;0;671;6794;988;1358;240;6660;202;2124;133
236482;0;181;0;671;638;962;13861;240;6660;202;2369;131
178667;0;181;0;671;6223;1000;13861;240;6660;202;2178;102
889762;0;181;0;671;6968;919;14165;240;6660;202;1721;104
158744;0;181;0;671;6545;991;15192;240;6660;202;2108;109
918702;0;181;0;7;5536;1000;15804;240;6660;202;236;113
799248;0;181;0;7;552;1000;15331;240;6660;202;2456;123
200849;0;181;0;7;4368;912;14395;240;6660;202;3063;88
168118;0;181;0;7;5277;981;14261;240;6660;202;3081;72
243938;0;181;0;7;4652;1000;14672;240;6660;202;2828;105
225971;0;181;0;7;50;895;15184;240;6660;202;3199;74
143337;0;181;0;7;488;1000;15895;240;6660;202;3062;102
815174;0;181;0;7;539;989;17281;240;6660;202;2085;115
696215;0;181;0;7;5713;970;19265;240;6660;202;1711;151
529305;0;181;0;7;6051;825;21678;240;6660;202;1876;232
115779;0;181;0;7;5036;970;177;240;6660;202;2568;97
864476;0;181;0;693;6193;926;17912;240;6660;202;1517;138
133598;0;181;0;693;5887;947;17821;240;6660;202;1635;127
871675;0;181;0;693;6471;988;17257;240;6660;202;1712;131
587205;0;181;0;693;6405;960;16768;240;6660;202;1937;125
767202;0;181;0;693;5747;989;16334;240;6660;202;1992;85
383518;0;181;0;693;5453;1000;14896;240;6660;202;3059;50
991655;0;181;0;693;5852;778;15004;240;6660;202;2997;63
250461;0;181;0;693;5987;1000;15888;240;6660;202;2677;56
142362;0;181;0;693;6343;1000;15741;240;6660;202;2032;72
959571;0;181;0;693;6404;1000;1639;240;6660;202;2031;121
248017;0;181;0;693;5349;960;17028;240;6660;202;1977;83
415292;0;181;0;693;5531;854;16074;240;6660;202;2738;85
679208;0;181;0;693;5683;1000;14254;240;6660;202;2298;50
207162;0;181;0;659;4138;1000;11781;240;6660;202;2334;119
119511;0;181;0;659;5608;1000;12852;240;6660;202;1213;279
740389;0;181;0;597;5617;979;14547;240;6660;202;264;172
144383;0;181;0;597;6852;1000;14655;240;6660;202;1978;275
511358;0;181;0;597;5757;1000;1413;240;6660;202;1011;150
140507;0;181;0;597;6657;1000;15275;240;6660;202;2122;172
18811;0;181;0;597;4628;1000;15539;240;6660;202;3437;179
286558;0;181;0;597;5155;1000;15894;240;6660;202;2008;163
457461;0;181;0;693;4519;1000;16582;240;6660;202;3698;70
180846;0;181;0;679;6434;1000;18347;240;6660;202;2905;72
108342;0;181;0;679;6782;908;18195;240;6660;202;2579;75
259406;0;181;0;679;5304;891;16475;240;6660;202;2664;104
735341;0;181;0;679;5957;1000;18026;240;6660;202;2062;88
118123;0;181;0;718;6824;765;1794;240;6660;202;2274;84
110874;0;181;0;718;6411;1000;18589;240;6660;202;1502;167
702259;0;181;0;718;6006;953;18746;240;6660;202;157;142
120482;0;181;0;614;5648;876;19512;240;6660;202;141;208
705042;0;181;0;614;6103;851;20218;240;6660;202;2329;134
879212;0;181;0;584;5565;706;20635;240;6660;202;1716;117
158603;0;181;0;679;5896;954;19096;240;6660;202;2439;83
122472;0;181;0;584;5837;597;19976;240;6660;202;1569;102
376619;0;181;0;679;6202;787;18629;240;6660;202;1452;109
736711;0;181;0;679;6193;781;19356;240;6660;202;2152;110
933889;0;181;0;679;638;956;19682;240;6660;202;2408;95
849213;0;181;0;584;6348;861;20527;240;6660;202;1764;145
100623;0;181;0;584;6833;943;20882;240;6660;202;1969;141
644405;0;181;0;584;6425;748;22004;240;6660;202;1203;161
558107;0;181;0;713;6436;879;23158;240;6660;202;1622;143
139134;0;181;0;713;6208;950;22222;240;6660;202;1517;117
111604;0;181;0;74;6629;946;21247;240;6660;202;2327;134
144208;0;181;0;74;6461;933;20026;240;6660;202;1805;96
151772;0;181;0;74;6152;1000;19142;240;6660;202;2645;87
136781;0;181;0;74;5935;879;18206;240;6660;202;3402;84
939063;0;181;0;74;5627;939;18172;240;6660;202;2288;128
220511;0;181;0;74;5818;924;18662;240;6660;202;2211;105
972418;0;181;0;74;6406;972;20651;240;6660;202;1952;171
566637;0;181;0;74;6219;1000;20048;240;6660;202;1659;184
996654;0;181;0;74;6485;1000;19784;240;6660;202;1885;154
128023;0;181;0;74;5854;966;18956;240;6660;202;2379;108
106718;0;181;0;74;6459;948;19879;240;6660;202;2398;118
628807;0;181;0;74;6341;964;2072;240;6660;202;1779;149
992485;0;181;0;74;6251;966;2198;240;6660;202;1644;126
932909;0;181;0;713;6185;987;22616;240;6660;202;1813;141
752601;0;181;0;713;6417;983;2185;240;6660;202;1931;130
671772;0;181;0;713;6749;926;23236;240;6660;202;1744;134
544114;0;181;0;713;6655;982;23552;240;6660;202;1773;152
509017;0;181;0;713;6297;918;23682;240;6660;202;1727;161
